id,name,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
01,Mitte,383360.0,6.68137,15.98602,38.85206,1.75647,-1.98079,-2.50397
02,Friedrichshain-Kreuzberg,289787.0,5.90564,12.92674,27.12604,1.37812,-0.947429999999999,-0.90962
03,Pankow,410716.0,3.48544,6.45215,11.96328,0.80891,-0.374470000000001,0.308599999999998
04,Charlottenburg - Wilmersdorf,341392.0,3.94256,8.40734,18.76837,0.77508,-0.50581,-0.158819999999999
05,Spandau,245527.0,6.64288,15.55552,36.99651,1.01616,-1.32987,-1.70686
06,Steglitz-Zehlendorf,308840.0,2.95006,5.43841,11.452,0.65606,-0.403309999999999,-0.43506
07,Tempelhof-Schöneberg,349539.0,4.90207,11.92828,26.82788,1.05454,-0.76362,-0.768460000000001
08,Neukölln,327945.0,8.46004,16.93912,41.58842,2.4206,-1.80533,-1.59429
09,Treptow-Köpenick,276165.0,4.30778,7.93294,19.39106,0.9073,-0.67794,-0.697390000000002
10,Marzahn-Hellersdorf,273731.0,4.85704,12.35848,28.60116,0.77232,-1.29678,-2.69812
11,Lichtenberg,296837.0,5.27787,11.28667,27.50552,0.98548,-1.13635,-1.53532
12,Reinickendorf,266123.0,5.75838,13.65309,33.50754,1.09537,-1.43908,-2.56819
