id,name,inhabitants,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
01,Mitte,356506.0,9.32473,2.70216,19.54133,47.6942,-1.18414,-0.70152,-0.40932,-2.14145
02,Friedrichshain-Kreuzberg,275691.0,8.69498,2.66935,16.33967,36.61611,-0.7529,-0.42849,-0.56159,-2.93384
03,Pankow,384367.0,6.37438,2.0548,7.49076,14.39174,-0.75575,-0.27551,-0.23266,-1.46447
04,Charlottenburg-Wilmersdorf,326354.0,6.45739,2.37897,9.34568,20.89155,-0.2716,-0.3611,-0.54442,-1.32267
05,Spandau,230419.0,9.39213,3.07532,16.65097,40.76,-1.15374,-0.55917,0.42608,0.14019
06,Steglitz-Zehlendorf,299268.0,5.25597,1.81116,6.06547,13.68019,-0.01494,-0.07861,-0.40597,-0.40615
07,Tempelhof-Schöneberg,335767.0,7.89436,2.64536,12.58581,30.13124,-0.09868,-0.04347,-0.32295,-0.81541
08,Neukölln,325716.0,9.46511,2.89514,20.84024,50.18839,-1.00618,-0.34274,-0.18559,-1.56112
09,Treptow-Köpenick,249440.0,7.04459,2.52534,8.16028,20.75967,-0.46212,-0.18349,-0.23853,-1.39342
10,Marzahn-Hellersdorf,256173.0,8.95275,2.86764,15.75186,40.62429,-1.13037,-0.80183,0.41632,-0.77131
11,Lichtenberg,268465.0,8.01197,2.88849,12.92645,33.36996,-1.49089,-0.34535,0.38965,-0.95173
12,Reinickedorf,254000.0,7.8832,2.51052,14.95118,37.59094,-0.65378,-0.06801,0.62651,0.95146
